Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
11,60,FV,23,10305,Grvl,nan,IR1,Low,AllPub,CulDSac,Gtl,Lake Ruthport,PosN,Norm,2FmCon,1Story,4,1,1924,1997,Flat,Metal,MetalSd,HdBoard,CBlock,22,Gd,Gd,BrkTil,Ex,No,Mn,GLQ,258,LwQ,810,466,124,Wall,TA,Y,FuseA,1072,1243,34,1817,2,1,2,1,2,1,Gd,3,Sev,1,TA,Detchd,1937,RFn,1,457,Fa,Gd,N,84,418,74,179,115,189,Ex,nan,Gar2,2342,10,2016,Con,AdjLand
12,30,FV,85,17180,Pave,Grvl,IR3,Lvl,AllPub,Inside,Mod,Thompsonborough,Feedr,Feedr,Duplex,SLvl,9,9,1953,1959,Hip,Tar&Grv,BrkFace,VinylSd,None,449,Fa,Fa,BrkTil,No,Gd,Av,No,1287,LwQ,834,422,1203,GasA,Fa,Y,FuseP,541,326,64,2122,0,0,0,0,2,1,Fa,7,Sev,1,Ex,No,1928,RFn,2,561,Ex,No,N,22,238,467,126,119,93,TA,GdWo,nan,4464,6,2008,Con,Family
13,60,RH,86,15185,Grvl,Grvl,IR1,Lvl,AllPub,CulDSac,Mod,Port Elizabeth,Feedr,PosN,TwnhsE,1Story,7,6,1968,2007,Flat,CompShg,CemntBd,BrkFace,Stone,374,TA,Ex,CBlock,No,Fa,Mn,ALQ,147,Rec,685,596,2197,GasA,Ex,Y,FuseF,1506,982,70,1529,1,0,0,1,3,1,TA,11,Sev,2,Ex,CarPort,1985,Unf,3,190,TA,Ex,Y,19,117,30,21,41,682,Gd,GdWo,Shed,3663,3,2011,New,AdjLand
14,20,RH,70,15307,Grvl,nan,Reg,HLS,AllPub,Inside,Gtl,New Michelle,Artery,Feedr,Duplex,SLvl,6,3,1919,1928,Gable,Metal,MetalSd,BrkFace,Stone,279,TA,Ex,Slab,TA,No,Gd,Rec,130,No,1209,465,882,Grav,Fa,Y,FuseP,1102,1252,55,1507,1,0,0,1,2,1,Fa,3,Min2,0,TA,Basment,2013,Unf,3,231,Ex,Gd,N,88,58,182,32,66,743,Ex,GdWo,Othr,175,8,2012,Con,Abnorml
15,40,FV,37,18429,Grvl,Grvl,IR3,Bnk,AllPub,Inside,Mod,Philliptown,Norm,Feedr,1Fam,1Story,7,8,1916,1997,Gable,CompShg,CemntBd,VinylSd,None,53,Gd,TA,PConc,Fa,TA,No,LwQ,877,BLQ,629,856,2103,Wall,Fa,N,FuseF,400,524,78,528,0,0,2,0,2,1,Gd,9,Mod,1,Ex,CarPort,1926,Unf,3,750,Ex,Ex,Y,424,172,458,135,80,388,Fa,nan,Gar2,1605,1,2009,COD,Normal
16,40,RH,70,13745,Pave,Grvl,IR3,HLS,AllPub,Corner,Sev,South Courtneychester,PosN,Artery,1Fam,2Story,9,5,2000,1964,Hip,Tar&Grv,MetalSd,BrkFace,None,118,Gd,Ex,Slab,Gd,TA,Mn,ALQ,1201,ALQ,55,639,1540,GasW,Ex,N,FuseA,1113,1017,43,2035,0,0,3,1,4,1,TA,4,Sev,0,Fa,Detchd,2013,RFn,1,42,No,TA,N,153,17,201,115,184,772,nan,GdWo,Shed,24,8,2013,ConLw,Family
17,60,RM,48,5686,Pave,Pave,IR1,Low,AllPub,CulDSac,Gtl,Taraland,Feedr,Norm,Duplex,1.5Fin,2,3,1900,1986,Flat,Tar&Grv,VinylSd,VinylSd,BrkFace,473,Ex,Ex,CBlock,Ex,TA,Gd,LwQ,802,No,368,1434,2765,GasA,Gd,Y,SBrkr,1071,662,177,3774,2,1,1,0,1,1,TA,8,Mod,0,No,No,1946,RFn,2,51,Gd,Gd,N,463,468,265,79,124,491,Gd,nan,nan,3540,12,2020,New,Partial
18,20,RH,28,7069,Pave,Pave,Reg,Low,AllPub,Inside,Mod,East Kristinhaven,Feedr,PosN,Twnhs,SLvl,1,7,1902,1957,Mansard,Metal,BrkFace,BrkFace,CBlock,187,Fa,Ex,BrkTil,Fa,No,Gd,Rec,1118,Rec,980,761,668,Grav,Fa,N,FuseP,1058,1275,31,2634,2,0,3,0,2,1,Gd,11,Mod,1,TA,Basment,1902,Unf,0,760,TA,Gd,N,19,104,390,91,147,281,Fa,MnWw,Othr,2476,9,2007,New,AdjLand
19,30,RL,89,16353,Pave,Pave,IR1,Low,AllPub,Corner,Gtl,New Raymondstad,Artery,Norm,TwnhsE,1.5Fin,1,5,1980,1960,Mansard,CompShg,VinylSd,MetalSd,CBlock,101,Ex,Gd,CBlock,No,Ex,Mn,Unf,1246,GLQ,219,470,1641,Wall,Gd,Y,FuseP,597,1193,43,2348,0,0,3,0,4,1,Fa,5,Mod,1,Fa,Attchd,2016,Unf,1,558,TA,No,N,239,148,243,40,172,153,TA,nan,nan,3755,1,2017,New,Abnorml
20,120,FV,74,19884,Grvl,Pave,Reg,HLS,AllPub,Corner,Gtl,West Davidside,Artery,PosN,Twnhs,1Story,6,3,1991,2010,Hip,Tar&Grv,BrkFace,CemntBd,CBlock,231,Fa,TA,Slab,No,TA,Gd,BLQ,494,BLQ,1337,236,1044,Wall,Gd,N,FuseP,822,242,74,2200,0,0,0,0,3,1,TA,9,Sal,0,Gd,CarPort,1921,Unf,3,251,Fa,Gd,N,384,306,383,28,76,379,nan,MnPrv,Shed,2044,8,2010,ConLw,Partial
21,120,FV,86,9562,Pave,Grvl,Reg,Bnk,AllPub,CulDSac,Sev,New Anthony,Norm,Feedr,Duplex,2Story,9,7,1991,1944,Flat,Tar&Grv,CemntBd,CemntBd,BrkFace,68,TA,TA,PConc,Ex,Gd,No,BLQ,1235,Unf,1275,192,1345,GasW,Fa,N,FuseA,470,1108,40,810,2,1,1,1,4,1,Ex,4,Typ,2,Ex,BuiltIn,1998,Fin,2,636,TA,Gd,Y,42,333,242,97,160,786,Fa,MnWw,nan,967,9,2013,ConLw,Abnorml
22,30,RL,27,6731,Grvl,Pave,IR3,Bnk,AllPub,Inside,Mod,East Alanfurt,PosN,Artery,2FmCon,SLvl,5,2,1909,1961,Hip,Tar&Grv,CemntBd,HdBoard,None,294,Gd,Gd,Slab,Gd,No,Mn,No,1477,GLQ,1042,1156,1979,GasA,Ex,Y,FuseF,969,527,84,3817,2,1,1,0,4,1,Fa,5,Sev,2,Fa,Attchd,1915,Unf,3,928,No,Fa,Y,65,66,238,28,60,102,Gd,GdPrv,nan,4240,3,2006,Con,AdjLand
23,160,FV,76,5669,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,New Marc,Artery,Artery,Twnhs,1.5Fin,2,3,1910,1930,Gable,Metal,HdBoard,HdBoard,BrkFace,290,TA,Fa,PConc,TA,Ex,Gd,ALQ,790,ALQ,1152,1435,1943,GasA,Gd,Y,SBrkr,635,232,137,448,1,0,3,1,2,1,Fa,5,Mod,0,Gd,2Types,1966,RFn,0,858,No,Gd,P,268,470,206,137,8,624,Ex,nan,Othr,4018,3,2008,New,Partial
24,60,RH,51,13948,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Port Karina,Feedr,PosN,Twnhs,SLvl,5,9,1923,1988,Mansard,Metal,VinylSd,BrkFace,Stone,439,Gd,Ex,PConc,No,TA,Mn,Unf,1024,ALQ,1407,677,49,Grav,Gd,Y,SBrkr,1806,1285,68,436,1,0,0,1,1,1,Gd,7,Typ,0,TA,2Types,1920,Fin,3,684,Ex,No,P,107,421,120,111,150,560,nan,nan,Shed,3611,1,2017,Con,Alloca
25,160,RL,86,17159,Pave,Grvl,IR2,HLS,AllPub,CulDSac,Mod,Lake Frankberg,Artery,PosN,1Fam,2Story,5,2,2002,1973,Mansard,CompShg,HdBoard,VinylSd,CBlock,294,Gd,Gd,CBlock,No,Fa,Gd,GLQ,428,Unf,1313,846,562,Grav,TA,Y,FuseF,1459,82,171,1196,2,0,2,1,1,1,Fa,3,Maj1,0,No,No,2005,Fin,1,908,Fa,No,Y,313,38,318,107,94,609,Fa,GdPrv,Shed,2103,12,2020,COD,Partial
26,20,RL,40,8231,Pave,Grvl,IR2,Low,AllPub,Inside,Sev,Comptonchester,Norm,Norm,Twnhs,1.5Fin,3,2,1920,1947,Gable,Metal,VinylSd,BrkFace,BrkFace,321,Fa,Ex,PConc,TA,Ex,No,Unf,720,GLQ,1031,757,2022,GasW,TA,N,FuseP,773,780,103,1176,1,1,1,0,2,1,TA,8,Min1,0,Gd,2Types,1982,Fin,2,396,Fa,TA,Y,40,6,41,106,119,353,Fa,nan,Othr,4457,2,2009,ConLw,AdjLand
27,40,RL,92,16888,Pave,nan,IR2,Low,AllPub,Corner,Gtl,Wufort,PosN,Artery,TwnhsE,2Story,4,9,1937,1992,Gable,Tar&Grv,VinylSd,BrkFace,CBlock,472,Gd,Ex,BrkTil,Ex,TA,No,Rec,1419,GLQ,768,621,1682,GasW,Gd,N,SBrkr,1233,1387,153,2600,0,0,1,0,3,1,Fa,11,Mod,0,Gd,CarPort,2009,Unf,1,240,TA,Gd,Y,373,474,35,21,81,661,nan,GdPrv,Shed,1179,1,2017,ConLw,Partial
28,60,RM,99,9579,Grvl,Grvl,IR1,HLS,AllPub,CulDSac,Gtl,South Aaron,Artery,Feedr,Duplex,SLvl,3,8,1952,1965,Gable,Metal,HdBoard,VinylSd,None,384,TA,Fa,CBlock,No,Ex,Av,GLQ,312,Rec,651,776,1318,GasA,Ex,N,SBrkr,931,658,54,462,0,1,1,1,1,1,Ex,3,Maj1,2,TA,Attchd,1971,Fin,2,712,Gd,Fa,P,209,439,152,173,103,437,nan,GdWo,Gar2,3623,7,2008,New,Normal
29,20,RL,90,15760,Grvl,nan,IR2,Low,AllPub,CulDSac,Mod,North Richardfort,Norm,Artery,Duplex,SLvl,2,6,1912,1999,Hip,Metal,MetalSd,BrkFace,BrkFace,136,Ex,Ex,BrkTil,Gd,Ex,Mn,LwQ,518,LwQ,1041,274,2153,Grav,TA,N,FuseP,695,804,16,483,2,1,0,1,2,1,Gd,11,Maj2,0,Ex,Basment,1907,RFn,0,929,Fa,TA,Y,383,313,243,100,175,13,Ex,GdWo,nan,1410,11,2012,COD,Family
30,40,FV,78,12171,Grvl,Grvl,IR1,HLS,AllPub,Corner,Sev,Danielmouth,PosN,Norm,1Fam,SLvl,5,7,1931,1953,Gable,CompShg,HdBoard,CemntBd,None,36,TA,Fa,CBlock,Fa,Fa,Av,ALQ,1141,ALQ,271,1486,2536,GasW,TA,Y,FuseA,1255,1231,185,1247,2,1,3,1,4,1,TA,6,Mod,0,TA,BuiltIn,1979,Unf,0,210,Fa,Ex,Y,42,467,319,134,76,661,Ex,GdPrv,Othr,3751,11,2017,New,Family
31,30,RM,65,16370,Grvl,nan,IR1,HLS,AllPub,Corner,Mod,Carrview,Feedr,Feedr,TwnhsE,SLvl,3,4,1988,1946,Mansard,Metal,HdBoard,MetalSd,BrkFace,232,TA,Ex,PConc,TA,Ex,Gd,Unf,425,LwQ,1380,287,2787,Wall,TA,N,FuseF,916,792,93,2725,2,0,3,1,1,1,TA,6,Sev,1,No,Detchd,1976,RFn,3,840,Gd,No,Y,199,167,382,14,150,659,Gd,nan,Othr,1691,8,2012,WD,Normal
32,20,FV,67,13759,Grvl,Grvl,IR1,HLS,AllPub,Corner,Mod,West Helenburgh,PosN,PosN,TwnhsE,2Story,2,8,1924,1933,Gable,CompShg,HdBoard,VinylSd,BrkFace,167,Gd,TA,Slab,No,Gd,Av,Rec,547,LwQ,170,1090,1571,Wall,Ex,N,FuseA,1124,1202,185,3575,0,1,1,0,4,1,TA,8,Maj1,0,TA,Detchd,1977,RFn,1,408,No,TA,Y,95,290,172,48,144,723,Ex,MnWw,Shed,2806,2,2019,COD,AdjLand
33,20,RL,51,16006,Grvl,Pave,IR3,Low,AllPub,CulDSac,Gtl,Jerryfurt,PosN,Norm,2FmCon,2Story,2,2,1965,2011,Gable,Metal,HdBoard,CemntBd,BrkFace,157,TA,Gd,CBlock,Fa,No,Gd,LwQ,97,GLQ,880,1109,924,GasW,Ex,N,FuseA,1206,1492,3,2502,1,0,2,1,3,1,Fa,11,Sev,2,Gd,Attchd,1966,RFn,1,971,TA,Gd,N,24,317,427,190,119,411,Gd,MnWw,nan,499,3,2009,COD,Normal
34,40,RM,28,17498,Pave,nan,Reg,HLS,AllPub,Inside,Gtl,Walkerberg,Norm,Feedr,1Fam,2Story,3,9,2017,1939,Hip,CompShg,VinylSd,HdBoard,BrkFace,386,Gd,Fa,BrkTil,No,Fa,No,ALQ,176,BLQ,353,861,1545,GasW,TA,N,SBrkr,1122,258,177,524,2,0,3,1,3,1,TA,10,Min1,2,Ex,Basment,1964,Unf,1,847,Ex,Gd,Y,392,253,230,26,41,356,TA,nan,nan,2779,5,2018,COD,Normal
35,60,FV,75,7752,Pave,Grvl,IR3,Bnk,AllPub,CulDSac,Gtl,West Allisonton,Norm,Norm,TwnhsE,SLvl,4,5,2012,1972,Hip,Tar&Grv,HdBoard,CemntBd,None,13,Fa,Ex,Slab,No,Gd,Av,GLQ,152,GLQ,869,24,1336,Grav,Gd,N,FuseP,496,1227,184,1325,2,1,1,0,1,1,Gd,3,Maj1,0,Gd,Basment,1937,RFn,2,681,TA,No,N,408,465,194,199,177,561,Fa,MnWw,Shed,2704,6,2014,WD,Partial
36,20,RH,29,17418,Grvl,Grvl,Reg,HLS,AllPub,Corner,Mod,Walterton,Norm,Norm,Twnhs,1.5Fin,5,3,1995,1956,Hip,CompShg,MetalSd,BrkFace,None,35,Gd,Ex,Slab,No,Fa,Av,GLQ,1445,Rec,558,454,1851,GasW,Ex,N,FuseF,1928,718,84,2706,0,0,2,0,2,1,TA,9,Maj2,0,TA,Attchd,1951,Unf,3,900,Ex,No,P,182,70,472,62,50,627,Gd,MnWw,Gar2,515,4,2018,WD,Family
37,160,FV,31,8045,Pave,nan,IR1,Bnk,AllPub,Corner,Mod,South Helenborough,PosN,PosN,1Fam,2Story,9,6,1968,1961,Flat,Tar&Grv,VinylSd,CemntBd,Stone,196,Fa,Ex,Slab,Fa,Fa,No,BLQ,1340,ALQ,694,718,805,GasA,Ex,N,FuseA,806,780,58,3998,1,0,2,0,2,1,Ex,9,Mod,1,TA,No,1937,Fin,1,944,TA,TA,P,439,382,266,150,114,240,nan,GdWo,Othr,1340,12,2007,ConLw,AdjLand
38,30,FV,70,9628,Pave,Pave,IR3,HLS,AllPub,CulDSac,Sev,East Keithton,Norm,Artery,1Fam,1.5Fin,3,3,1914,1931,Gable,Tar&Grv,VinylSd,BrkFace,None,460,TA,Gd,Slab,TA,Ex,Mn,LwQ,997,Unf,469,811,2743,Wall,TA,Y,FuseP,1370,883,173,1500,0,0,2,0,2,1,Ex,8,Sev,0,Fa,2Types,1927,Fin,3,566,Fa,Gd,Y,203,465,19,34,12,30,Ex,GdWo,Othr,1111,11,2006,Con,Family
39,160,RL,36,11950,Pave,Grvl,IR2,HLS,AllPub,CulDSac,Gtl,Port Kennethview,Feedr,Norm,Twnhs,1Story,8,9,1997,2010,Gable,Tar&Grv,HdBoard,VinylSd,Stone,264,Ex,Fa,CBlock,Fa,Fa,Mn,LwQ,892,No,1339,601,1794,Grav,Gd,Y,FuseP,1840,1334,179,2106,2,1,2,0,3,1,Fa,11,Sal,1,Fa,No,2013,RFn,0,422,TA,Gd,P,87,479,290,6,136,709,Fa,GdPrv,Gar2,3322,7,2011,New,Normal
40,30,RM,98,13898,Pave,Grvl,Reg,Lvl,AllPub,Corner,Mod,Port Latoya,Artery,PosN,Twnhs,1.5Fin,1,9,1922,1966,Hip,Tar&Grv,HdBoard,MetalSd,Stone,410,TA,Fa,BrkTil,Ex,Fa,Av,Rec,806,No,825,1475,1766,Grav,TA,N,FuseP,716,1209,50,3491,2,0,2,1,2,1,TA,11,Maj1,1,No,No,1931,Fin,0,778,Fa,No,P,177,295,168,62,108,795,Ex,GdPrv,Othr,4430,7,2013,Con,Normal
41,60,RL,71,9962,Grvl,Grvl,IR1,Low,AllPub,Inside,Gtl,East Diana,Feedr,Artery,Duplex,1Story,2,6,1905,2010,Flat,Tar&Grv,MetalSd,VinylSd,CBlock,435,Gd,Gd,BrkTil,No,Ex,Av,ALQ,348,Rec,283,210,566,Wall,Ex,Y,FuseA,1459,862,109,2762,1,1,3,0,4,1,Ex,5,Min2,1,Ex,Detchd,1950,Fin,3,37,Fa,No,Y,208,163,444,108,190,491,TA,nan,nan,1810,3,2019,WD,Partial
42,120,RH,24,9864,Grvl,Grvl,Reg,HLS,AllPub,Corner,Mod,South Tracyborough,Artery,Artery,Twnhs,1.5Fin,8,9,2021,1988,Gable,CompShg,HdBoard,BrkFace,Stone,122,Ex,Ex,PConc,Gd,Fa,Av,ALQ,677,LwQ,773,691,2789,Grav,TA,Y,FuseF,601,518,84,3994,2,1,3,1,4,1,Gd,11,Sev,2,No,2Types,1914,Unf,0,391,No,No,P,189,486,446,159,189,706,Gd,GdPrv,Shed,2980,3,2020,New,Abnorml
43,40,RL,65,15046,Pave,Grvl,IR2,HLS,AllPub,Inside,Gtl,North Christopher,Norm,PosN,Duplex,1.5Fin,6,5,2016,1922,Flat,Metal,BrkFace,HdBoard,CBlock,69,Fa,Gd,BrkTil,TA,Fa,Av,ALQ,1492,GLQ,1033,1404,836,Grav,Ex,N,FuseP,1945,1224,158,660,2,1,2,0,3,1,TA,6,Min2,1,No,2Types,1976,RFn,0,68,Gd,Ex,P,429,449,262,24,79,60,nan,MnWw,Shed,2287,1,2010,New,Abnorml
44,40,RM,54,16515,Pave,Grvl,IR3,Low,AllPub,CulDSac,Gtl,North Stephaniemouth,Feedr,Norm,Twnhs,1Story,2,1,1916,2012,Mansard,Metal,VinylSd,MetalSd,CBlock,415,Ex,Ex,CBlock,No,TA,Mn,BLQ,1136,No,397,648,1670,GasA,Ex,Y,FuseA,1005,1282,152,1429,0,0,1,1,3,1,TA,11,Maj1,0,No,2Types,2010,Fin,1,281,TA,TA,Y,471,137,468,168,17,707,Gd,MnWw,Shed,260,7,2020,New,Partial
45,20,RM,72,19570,Pave,nan,IR3,Bnk,AllPub,Corner,Sev,Alexandraland,Artery,Norm,Twnhs,1.5Fin,5,3,1978,1999,Mansard,Tar&Grv,BrkFace,CemntBd,BrkFace,10,Fa,Gd,CBlock,No,Fa,No,ALQ,318,Unf,22,838,2302,Grav,Gd,N,FuseP,1164,585,167,2550,1,0,1,0,4,1,Ex,9,Sev,1,Gd,CarPort,1948,RFn,0,27,Fa,Gd,P,327,105,469,110,89,162,Gd,MnPrv,nan,2240,6,2010,WD,Family
46,40,RH,43,16160,Grvl,nan,IR2,Low,AllPub,CulDSac,Mod,Hudsonfurt,Artery,Artery,2FmCon,1.5Fin,5,6,1994,1991,Flat,Tar&Grv,MetalSd,CemntBd,None,279,Gd,Gd,PConc,Fa,Fa,Av,LwQ,1078,BLQ,257,682,2441,GasA,Ex,Y,SBrkr,462,1199,83,1431,2,1,0,1,2,1,Ex,3,Typ,2,No,2Types,1955,RFn,3,326,Fa,Ex,P,323,159,98,82,30,262,Fa,GdPrv,Othr,89,6,2015,COD,Partial
47,40,RM,57,18204,Pave,nan,IR3,Lvl,AllPub,Inside,Mod,Port Teresa,Norm,PosN,Duplex,2Story,2,6,1955,2005,Hip,Metal,VinylSd,MetalSd,None,433,Fa,TA,BrkTil,Gd,No,Av,GLQ,1497,BLQ,171,51,59,GasW,Fa,Y,FuseP,1158,1480,73,2153,1,0,2,0,2,1,Fa,4,Sev,0,Ex,Detchd,1915,RFn,2,196,No,Fa,Y,76,394,338,108,63,70,Ex,MnWw,Shed,492,12,2016,COD,AdjLand
48,30,RM,41,16169,Pave,Pave,IR3,Low,AllPub,Corner,Sev,Patriciaport,Feedr,Artery,Twnhs,SLvl,2,9,1917,2019,Mansard,Metal,VinylSd,HdBoard,None,277,TA,TA,Slab,No,Ex,No,ALQ,951,LwQ,751,1176,928,Grav,Fa,Y,FuseF,1489,982,2,678,2,0,2,1,1,1,Ex,5,Min2,1,Ex,No,1996,RFn,2,354,Fa,Ex,N,354,345,130,7,15,580,Ex,nan,nan,1046,2,2010,WD,AdjLand
